Sentence #,Word,POS,Tag
Sentence: 1,I,PRON,O
Sentence: 1,ran,VERB,BE
Sentence: 1,a,DET,O
Sentence: 1,mile,NOUN,O
Sentence: 1,",",PUNCT,O
Sentence: 1,I,PRON,O
Sentence: 1,felt,VERB,O
Sentence: 1,pretty,ADV,O
Sentence: 1,good,ADJ,BF
Sentence: 1,afterward,ADV,O
Sentence: 1,.,PUNCT,O
Sentence: 1,Much,ADV,O
Sentence: 1,more,ADV,O
Sentence: 1,energetic,ADJ,BF
Sentence: 1,.,PUNCT,O
Sentence: 2,I,PRON,O
Sentence: 2,did,AUX,O
Sentence: 2,weight,NOUN,BE
Sentence: 2,lifting,NOUN,IE
Sentence: 2,and,CCONJ,O
Sentence: 2,felt,VERB,O
Sentence: 2,much,ADV,O
Sentence: 2,more,ADV,O
Sentence: 2,exhausted,ADJ,BF
Sentence: 2,but,CCONJ,O
Sentence: 2,still,ADV,O
Sentence: 2,strong,ADJ,BF
Sentence: 3,I,PRON,O
Sentence: 3,performed,VERB,O
Sentence: 3,45,NUM,O
Sentence: 3,weighted,VERB,O
Sentence: 3,squats,NOUN,BE
Sentence: 3,",",PUNCT,O
Sentence: 3,and,CCONJ,O
Sentence: 3,I,PRON,O
Sentence: 3,felt,VERB,O
Sentence: 3,pumped,VERB,BF
Sentence: 3,up,ADP,IF
Sentence: 3,.,PUNCT,O
Sentence: 4,I,PRON,O
Sentence: 4,curled,VERB,BE
Sentence: 4,50lbs,NOUN,O
Sentence: 4,and,CCONJ,O
Sentence: 4,my,DET,O
Sentence: 4,arms,NOUN,O
Sentence: 4,were,AUX,O
Sentence: 4,very,ADV,BF
Sentence: 4,sore,ADJ,IF
Sentence: 4,.,PUNCT,O
Sentence: 5,I,PRON,O
Sentence: 5,cycled,VERB,BE
Sentence: 5,for,ADP,O
Sentence: 5,one,NUM,O
Sentence: 5,hour,NOUN,O
Sentence: 5,and,CCONJ,O
Sentence: 5,my,DET,O
Sentence: 5,legs,NOUN,O
Sentence: 5,were,AUX,O
Sentence: 5,in,ADP,O
Sentence: 5,so,ADV,O
Sentence: 5,much,ADJ,O
Sentence: 5,pain,NOUN,BF
Sentence: 5,after,ADV,O
Sentence: 5,!,PUNCT,O
Sentence: 6,I,PRON,O
Sentence: 6,played,VERB,O
Sentence: 6,three,NUM,O
Sentence: 6,tennis,NOUN,BE
Sentence: 6,matches,NOUN,O
Sentence: 6,and,CCONJ,O
Sentence: 6,my,DET,O
Sentence: 6,back,NOUN,O
Sentence: 6,hurts,NOUN,BF
Sentence: 6,so,ADV,O
Sentence: 6,much,ADV,O
Sentence: 6,right,ADV,O
